eyebrow_height,mouth_aspect_ratio,eye_aspect_ratio,nose_height,eyebrow_distance,emotion
0.4609556049108505,3.4557904296459525,0.03301325440406799,0.809657096862793,0.39942873120307926,angry
0.39124095737934117,3.1289965143506024,0.036763742566108704,0.6680899262428284,0.30750375986099243,angry
0.17410096973180772,2.389450467562088,0.04404479265213013,0.35039910674095154,0.25259271562099456,angry
0.13353875577449797,2.057660579331963,0.054475679993629456,0.4613693356513977,0.4568284094333649,angry
0.23410820960998535,2.442270293362602,0.05980671942234039,0.6239004731178284,0.48022283911705016,angry
0.3626773715019226,3.612664282485146,0.03748421370983124,0.6505438089370728,0.40727515220642085,angry
0.15989910960197448,2.613401195581966,0.023066572844982147,0.3943711221218109,0.2603416293859482,angry
0.2823502987623215,3.1041223592032394,0.05417171120643616,0.5589113235473633,0.4033942461013794,angry
0.276020935177803,4.517593583459446,0.04302974045276642,0.5332409143447876,0.4060517132282257,angry
0.31441870629787444,3.425698861337753,0.04195530712604523,0.5533705949783325,0.33184376955032346,angry
0.2596196621656418,3.7588335726327475,0.04797782003879547,0.7052873373031616,0.4834584772586822,angry
0.26824849992990496,3.0002590549425667,0.04504019021987915,0.7433841228485107,0.4870003223419189,angry
0.31355864703655245,4.992686180352531,0.037657931447029114,0.6139448285102844,0.4374137103557587,angry
0.27749783992767335,2.391429829509174,0.0459737628698349,0.6041115522384644,0.37845487594604493,angry
0.2688978761434555,3.501798605425674,0.04117511212825775,0.6463010311126709,0.4179713666439056,angry
0.25401278436183927,4.067004352100492,0.04576365649700165,0.6661914587020874,0.4960025489330292,angry
0.17541336119174955,3.7147250906414766,0.05615140497684479,0.5769122838973999,0.4382677078247071,angry
0.1485966771841049,1.9458229164063139,0.06941083073616028,0.4886162281036377,0.5057285964488983,angry
0.24826289117336273,2.4537174292857475,0.06085751950740814,0.6654512286186218,0.5348561942577361,angry
0.11509896218776702,3.026729826517442,0.06457338482141495,0.5885770916938782,0.5238681137561798,angry
0.37783557176589966,3.331242178861573,0.04430650174617767,0.6751389503479004,0.35816932916641236,angry
0.29549767076969147,3.732176417440781,0.04567842185497284,0.5807948112487793,0.3265128433704376,angry
0.26861111223697665,2.3557189911092595,0.037103742361068726,0.5458745360374451,0.43449780642986296,angry
0.19461097717285156,2.775509743119799,0.03567804396152496,0.46480050683021545,0.3037232041358948,angry
0.2161600083112717,4.8674401062775825,0.0468137264251709,0.5573453307151794,0.46163358092308043,angry
0.30612991750240326,2.570855711517081,0.03623893857002258,0.7180753946304321,0.5019609808921814,angry
0.27488417029380796,2.1199219401590974,0.022508785128593445,0.6218751072883606,0.44206680059432985,angry
0.3134810566902161,5.145535506973433,0.06765136122703552,0.6757587194442749,0.49506059288978577,angry
